Q,Te,Eh,GNP,Area,PD,B,L,R,T,I,Qs,Glacial,Lith,Connection,C_W_Length,Structure,Slope,W_Depth,Process,Structure_,MainClass,Shelf,Sinuosity,MarginType,Slope_W,ID,Fan_Area,Fan_Width,Fan_Depth,Fan_Volume,Fan_Length,OID_,River_Name,Alt_Name,Area_1,Q_1,PD_Q,Runoff,TSS,PD_TSS,SedYield,ASedConc,TDS,PD_TDS,DisYield,DisConc,Max_Elev,mm_yr_km,E_Length,S_Dist,Sed_Thick,Sed_Basin,River_S,C_Slope_S,C_Shelf_S,C_Class,C_TopH,C_LowH,C_Length,C_MaxH,C_Freq,C_Distance,C_ID,F_Depth,F_Length,F_Width,F_ID,F_Area,Slope_LowH,Slope_TopH,F_Sum,BoW,R2,PD_Qs,S_Basin_ID,10m_km,SP,Shelf_LowH,F_Age,F_S
1.014752758,1,1,5560,1950.9894,0.3064,1,1,1.3919,26.8409,1,1.0004,1,1,7358,131639.65,,0.35751935,-53,WF,Passive Margin,Arid,2,1.309489965,Active,10574.11,7358,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32301,1553.886074,10001.6172,-1,0,10.57356,41.42193,14.89759,0,0,0,0,0,0,0,0,0,0,0,0,0,-587,-149,0,Red Sea,1.4,0.99462,0,15.29024,50485.86285,-149,0,0
0.600965004,1,1,1361,1013.5988,1.6714,2,2,1.1822,25.9277,1,1.0016,1,2,3145,75947.37,,0.980045067,-138,WF,Passive Margin,Arid,1,1.005890012,Passive,29139.45,3145,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,86.48688,0,4529.836499,767,0,15.56604,66.95391,28.25709,2,-44,-2276,67.31432,2232,3,5902.81742,1391,0,0,0,0,0,-2079,-128,0,Arabian Sea,1.184,1.00003,0,3.59035,62290.43127,-128,0,0
2.231743468,1,0.3,20540,5225.2846,297.3029,0.3,1,2.0339,29.3083,1,1.0017,1,1,11885,246096.27,Intracratonic,0.253435338,-62,W,Passive Margin,Arid,2,1.00691998,Active,-9999,11885,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,114.33521,2519.793553,9611.687381,-1,2.1201,8.26465,0,20.2878,0,0,0,0,0,0,0,0,0,0,0,0,0,-305,-195,0,Red Sea,2.048,3.31594,25,25.67613,126588.7096,-195,0,0
1.106641691,1,1,465,2174.2696,21.0951,1,1,1.7645,19.6501,1,1.0019,1,1,9517,98056.04,,0.222409124,-43,W,Passive Margin,Equatorial,1,1.086109996,Passive,46359.99,9517,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2056.97076,4046.369518,22942.64014,721,0,17.99481,66.76015,11.07109,3,-257,-3349,46.31711,3092,1,29182.31292,550,0,0,0,0,0,-3349,-254,0,Indian Ocean,1.766,1.00101,0,8.42502,74138.36962,-254,0,0
2.6706583,1,1,-99,6539.9965,0.0495,2,2,0.383,19.7928,1,1.0027,1,2,911,147176.99,Intracratonic,-9999,-9999,,Intracratonic,,5,1.117630005,Passive,-9999,911,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01208,-9999,-9999,-9999,58.77182,2.60231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.385,0.99753,45,72.58914,110368.0841,0,0,0
1.668995987,1,1,36076.13044,3633.9063,51.0942,1.5,1.5,1.4221,10.7567,1,1.0035,1,1.5,4731,136203.73,Foreland,0.554291408,-104,W,Foreland,Warm Temperate,1,1,Active,19500.85,4731,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1121.4681,755.6791576,33440.09759,-1,3.12225,10.44098,49.07478,7.56577,2,-196,-1198,15.13594,1002,1,33830.57509,666,0,0,0,0,0,-1166,-209,0,Tyrrhenian Sea,1.467,0.97275,457,16.05814,396.72022,-253,0,0
0.377825255,1,2,3486.978664,567.4379,599.194,3,1.5,1.3893,22.3992,1,1.0057,1,1.5,24812,59767.91,,0.633239909,-84,WF,Foreland,Equatorial,2,1.025859952,Active,34256.4,24812,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2848.6289,6640.102297,9871.550106,1024,0,23.24492,89.9394,13.47306,2,-57,-2633,23.05212,2576,2,11924.67905,1321,0,0,0,0,0,-3214,-133,0,Celebes Sea,1.416,0.49339,0,9.97006,39612.18666,-133,0,0
16.5124303,1,1,3603.057287,63762.9433,65.1418,1.5,1.5,0.362,5.0146,1,1.0057,1,1.5,878,899341.68,Intracratonic,0.047492979,-4,WF,Intracratonic,Snow,2,1.836509943,Passive,-9999,878,0,0,0,0,0,710,Yuzhny Bug,Southern Bug,64000,2.8,3,43.75,0.2,-9999,0.003,71.429,1,0,0.016,357.143,390,991.21436,1048915.964,-9999,-1,0.95568,0.40252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Sea,0.37,0.984,473,78.30973,643839.6236,0,0,0
2.14381479,1,1,1644.782452,4969.2253,0.3208,2,2,0.3932,23.8251,1,1.0058,1,2,1902,226708,Intracratonic,-9999,-9999,,Intracratonic,,5,1.256819963,Passive,-9999,1902,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,65.64806,-9999,-9999,-9999,34.83612,1.73439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.394,1.00379,45,91.69856,178644.6982,0,0,0
0.435570776,1,2,725,677.8413,259.0466,3,1.5,1.093,25.4108,1,1.006,1,1.5,25307,48453.37,Passive Margin,0.231031917,-27,TW,Strike-Slip,Equatorial,1,1.160840034,Active,-9999,25307,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1525.22427,12261.4212,6902.280166,1490,7.83863,22.55777,0,8.69278,2,-72,-3622,46.08265,3550,1,15294.61915,1252,0,0,0,0,0,0,0,0,Caribbean Sea,1.093,0.50298,331,6.22311,31966.48104,-60,0,0
